,city,state,zip,longitude,latitude,dma region,state abr,criteria id,"""blockFips""","""incomeBelowPoverty""",medianIncome,incomeLessThan25,"incomeBetween25to50""",incomeBetween50to100,incomeBetween100to200,incomeGreater200,educationHighSchoolGraduate,educationBachelorOrGreater
15057,Wichita Falls,Texas,76309,-98.53215,33.892447,Wichita Falls,TX,,484850127003006,0.171,52283.0,0.186,0.2713,0.509,0.0724,0.0181,0.879,0.2844
15058,Wichita Falls,Texas,76310,-98.5624,33.841948,Wichita Falls,TX,,484850123001012,0.171,42144.0,0.2826,0.3836,0.3543,0.0,0.0,0.837,0.1562
15059,Archer City,Texas,76351,-98.63462,33.574426,Wichita Falls,TX,,480090203003042,0.111,34457.0,0.3308,0.3421,0.2444,0.1241,0.0075,0.7813,0.155
15060,Burkburnett,Texas,76354,-98.58881,34.085289,Wichita Falls,TX,,484850135013026,0.171,55219.0,0.0731,0.308,0.5129,0.1547,0.0,0.9175,0.1937
15061,Byers,Texas,76357,-98.18119,34.06722,Wichita Falls,TX,,480770303011013,0.125,51078.0,0.2681,0.2702,0.3589,0.1552,0.0,0.8636,0.1507
15062,Electra,Texas,76360,-98.97235,33.963228,Wichita Falls,TX,,484879503002921,0.171,41230.0,0.2578,0.3901,0.2511,0.13,0.0,0.7001,0.2334
15063,Harrold,Texas,76364,-99.062,34.081642,Wichita Falls,TX,,484879503002138,0.171,41230.0,0.2578,0.3901,0.2511,0.13,0.0,0.7001,0.2334
15064,Henrietta,Texas,76365,-98.19145,33.761291,Wichita Falls,TX,,480770303023034,0.125,40658.0,0.1702,0.4452,0.338,0.1096,0.0047,0.8402,0.1224
15065,Iowa Park,Texas,76367,-98.68492,33.958681,Wichita Falls,TX,,484850136001005,0.171,41190.0,0.1399,0.6337,0.1687,0.1276,0.0,0.8454,0.0873
15066,Olney,Texas,76374,-98.75201,33.364868,Wichita Falls,TX,,485039502002108,0.176,26166.0,0.4515,0.426,0.2372,0.0,0.0,0.6809,0.2068
15067,Seymour,Texas,76380,-99.28506,33.594956,Wichita Falls,TX,,480239503003015,0.193,24700.0,0.4796,0.3495,0.1811,0.0128,0.0612,0.7425,0.1421
15068,Vernon,Texas,76384,-99.29649,34.142094,Wichita Falls,TX,,484879506002007,0.171,56366.0,0.1733,0.2886,0.3778,0.1583,0.0321,0.8566,0.3033
15069,Windthorst,Texas,76389,-98.42076,33.554607,Wichita Falls,TX,,480770303022211,0.125,76999.0,0.1358,0.2302,0.4491,0.234,0.0075,0.8389,0.1274
15070,Stephenville,Texas,76401,-98.21058,32.242816,Dallas-Ft. Worth,TX,1026816.0,481439505001033,0.185,48026.0,0.133,0.5125,0.3435,0.0332,0.0,0.6717,0.2643
15071,Breckenridge,Texas,76424,-98.92225,32.761058,Abilene-Sweetwater,TX,1026239.0,484299502002014,0.2,34653.0,0.3997,0.3688,0.2247,0.0772,0.0,0.6228,0.2374
15072,Bridgeport,Texas,76426,-97.80932,33.197313,Dallas-Ft. Worth,TX,1026242.0,484971504022008,0.125,83694.0,0.2012,0.2303,0.3423,0.2863,0.027,0.8156,0.0596
15073,Albany,Texas,76430,-99.27519,32.742591,Abilene-Sweetwater,TX,1026174.0,484179503001007,0.135,48940.0,0.2593,0.279,0.2864,0.1802,0.0074,0.8456,0.2414
15074,Cisco,Texas,76437,-98.99444,32.39492,Abilene-Sweetwater,TX,1026293.0,481339503001032,0.224,39524.0,0.4696,0.1989,0.1823,0.1492,0.0,0.5143,0.0587
