name,city,state,state_url,school_name,player_url
"Robert Archibald","Ballwin","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Lafayette","http://www.basketball-reference.com/players/a/archiro01.html"
"Bradley Beal","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Chaminade College Preparatory School","http://www.basketball-reference.com/players/b/bealbr01.html"
"Anthony Bonner","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Vashon","http://www.basketball-reference.com/players/b/bonnean01.html"
"John Brown","Dixon","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Dixon","http://www.basketball-reference.com/players/b/brownjo01.html"
"Alec Burks","Grandview","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Grandview","http://www.basketball-reference.com/players/b/burksal01.html"
"Chris Carr","Ironton","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Arcadia Valley","http://www.basketball-reference.com/players/c/carrch01.html"
"Rich Eichhorst","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Hancock","http://www.basketball-reference.com/players/e/eichhdi01.html"
"Bob Ferry","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Cleveland","http://www.basketball-reference.com/players/f/ferrybo01.html"
"Ben Hansbrough","Poplar Bluff","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Poplar Bluff","http://www.basketball-reference.com/players/h/hansbbe01.html"
"Tyler Hansbrough","Poplar Bluff","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Poplar Bluff","http://www.basketball-reference.com/players/h/hansbty01.html"
"Josh Harrellson","St. Charles","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","St. Charles","http://www.basketball-reference.com/players/h/harrejo01.html"
"Steve Harris","Blue Springs","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Blue Springs","http://www.basketball-reference.com/players/h/harrist01.html"
"Steven Hill","Branson","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Branson","http://www.basketball-reference.com/players/h/hillst01.html"
"Derek Hood","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Central","http://www.basketball-reference.com/players/h/hoodde01.html"
"Larry Hughes","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Christian Brothers College","http://www.basketball-reference.com/players/h/hughela01.html"
"Warren Jabali","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Central","http://www.basketball-reference.com/players/j/jabalwa01.html"
"Clay Johnson","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Manual","http://www.basketball-reference.com/players/j/johnscl02.html"
"Joe Kleine","Slater","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Slater","http://www.basketball-reference.com/players/k/kleinjo01.html"
"Jon Koncak","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Center","http://www.basketball-reference.com/players/k/koncajo01.html"
"Jim Krebs","Webster Groves","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Webster Groves","http://www.basketball-reference.com/players/k/krebsji01.html"
"David Lee","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Chaminade College Preparatory School","http://www.basketball-reference.com/players/l/leeda02.html"
"Tyronn Lue","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Raytown","http://www.basketball-reference.com/players/l/luety01.html"
