City,State Abr,Zip Code,Longitude,DMA Region,State,Latitude
"Albany","VT",5820,-72.38308000000001,523,"Vermont",44.733624
"Albany","WI",53502,-89.44315,669,"Wisconsin",42.71815
"Albee","SD",57259,-96.55365999999999,"","South Dakota",45.013469
"Albemarle","NC",28001,-80.19879,517,"North Carolina",35.351477
"Alberene","VA",22959,-78.64088,"","Virginia",37.935994
"Albers","IL",62215,-89.60258,"","Illinois",38.517125
"Albert City","IA",50510,-94.97033,624,"Iowa",42.768165
"Albert Lea","MN",56007,-93.36915999999999,611,"Minnesota",43.652042
"Albert","KS",67511,-99.04195,"","Kansas",38.442368
"Albert","NM",87733,-103.90051,"","New Mexico",35.80364
"Albert","TX",78671,-98.62152,"","Texas",30.230188
"Alberta","AL",36720,-87.36217000000001,"","Alabama",32.170653
"Alberta","MN",56207,-96.06453,613,"Minnesota",45.532754
"Alberta","VA",23821,-77.91125,556,"Virginia",36.87229
"Alberton","MT",59820,-114.49692,"","Montana",46.971146
"Albertson","NY",11507,-73.65004,501,"New York",40.769942
"Albertson","NC",28508,-77.82238,"","North Carolina",35.11493
"Albertville","AL",35950,-86.22835000000001,691,"Alabama",34.261878
"Albertville","AL",35951,-86.19282,"","Alabama",34.313014
"Albertville","MN",55301,-93.66261,613,"Minnesota",45.237867
"Albia","IA",52531,-92.7984,679,"Iowa",41.026796
"Albin","WY",82050,-104.18805,"","Wyoming",41.425769
"Albion","CA",95410,-123.71376,807,"California",39.216157
"Albion","ID",83311,-113.59744,"","Idaho",42.390977
"Albion","IL",62806,-88.07169,649,"Illinois",38.375576
"Albion","IN",46701,-85.43989000000001,509,"Indiana",41.361895
"Albion","IA",50005,-93.00357,"","Iowa",42.116477
"Albion","ME",4910,-69.43496,500,"Maine",44.513491
"Albion","MI",49224,-84.75151,563,"Michigan",42.261257
"Albion","NE",68620,-98.02460000000001,722,"Nebraska",41.708281
"Albion","NY",14411,-78.20229999999999,514,"New York",43.244034
"Albion","OK",74521,-95.09814,"","Oklahoma",34.660204
"Albion","WA",99102,-117.25208,"","Washington",46.793604
"Alborn","MN",55702,-92.63972,"","Minnesota",46.956644
"Albright","WV",26519,-79.63240999999999,"","West Virginia",39.539088
"Albrightsville","PA",18210,-75.55484,"","Pennsylvania",41.000937
"Albuquerque","NM",87102,-106.64792,790,"New Mexico",35.083946
"Albuquerque","NM",87104,-106.67238,"","New Mexico",35.101727
"Albuquerque","NM",87105,-106.68695,"","New Mexico",35.031329
"Albuquerque","NM",87106,-106.61747,"","New Mexico",35.078246
"Albuquerque","NM",87107,-106.64073,"","New Mexico",35.134094
"Albuquerque","NM",87108,-106.58232,"","New Mexico",35.073343
"Albuquerque","NM",87109,-106.56662,"","New Mexico",35.155811
