follower_id,following,screen_name,is_geo_enabled
30716669,"mitchrichmond23","ladyrebeccajade",false
1970077478,"mitchrichmond23","miles0120",true
1968052981,"mitchrichmond23","danieljgaytan",false
26407207,"mitchrichmond23","waco_aries",true
2189067734,"mitchrichmond23","PageAthlete",false
289803930,"mitchrichmond23","MambaWhyte",false
624101499,"mitchrichmond23","AmranHossain60",false
1041070662,"mitchrichmond23","herewithyourmom",false
747612368,"mitchrichmond23","420_aaron",false
2188132316,"mitchrichmond23","BringBackDonte",false
2187866724,"mitchrichmond23","NBA30News",false
1925639635,"mitchrichmond23","diggler821",false
562666109,"mitchrichmond23","StormRacing81",false
2180771880,"mitchrichmond23","ChuckerNBA",false
2175127342,"mitchrichmond23","TomasSgrizzi916",false
2174769502,"mitchrichmond23","DaPackers52",false
215149668,"mitchrichmond23","hisairness20",true
1888928305,"mitchrichmond23","darrellharden23",false
14375915,"mitchrichmond23","mcondition",false
1937120317,"mitchrichmond23","LeMondeAuRebond",false
1849671133,"mitchrichmond23","4everfam4",false
2174661078,"mitchrichmond23","RetroSports411",false
2167869114,"mitchrichmond23","TakeFIight",false
418166161,"mitchrichmond23","Sactown_Kings6",true
70426182,"mitchrichmond23","Andrew_Hoppe",false
1735245500,"mitchrichmond23","OvBaerga",false
1227123025,"mitchrichmond23","Stax_Motown41",false
566319770,"mitchrichmond23","guccibaby182",false
109140796,"mitchrichmond23","AirRusher",false
1963588818,"mitchrichmond23","marciobustos2",true
1582237082,"mitchrichmond23","Adithyany",false
2165759072,"mitchrichmond23","AUS_NBA",false
2170504178,"mitchrichmond23","KingsFanTam",false
2170071834,"mitchrichmond23","matty_liam",false
1729085526,"mitchrichmond23","SacRando",false
481250551,"mitchrichmond23","MarcinChmura32",true
1274083544,"mitchrichmond23","beastly_kat44",false
2166704906,"mitchrichmond23","Skrabotz",false
60411245,"mitchrichmond23","SethGamblexxx",false
944491926,"mitchrichmond23","theclementg",false
2164326644,"mitchrichmond23","bhurnman",false
2165611988,"mitchrichmond23","Jbpon8",false
1175413231,"mitchrichmond23","HumbleEagle1",false
41736402,"mitchrichmond23","mike49er",true
92157874,"mitchrichmond23","JustinAnder916",true
310595542,"mitchrichmond23","wikipuff88",false
21328049,"mitchrichmond23","CMarshallTLN",true
606431259,"mitchrichmond23","jnsparky",true
229763787,"mitchrichmond23","thagrimreefer",false
2163689929,"mitchrichmond23","CameronLLTK",false
390915028,"mitchrichmond23","CoachT_Miller",false
140725945,"mitchrichmond23","BFTAcademy",true
310534943,"mitchrichmond23","mntnbiker4life",false
2164039944,"mitchrichmond23","BayAreaNSac",false
232938243,"mitchrichmond23","AmbreTyrrel",true
546559293,"mitchrichmond23","MatthewPRanda88",true
135029435,"mitchrichmond23","TeeDubb70",true
1673369257,"mitchrichmond23","GotKansas",true
2163843494,"mitchrichmond23","impielife",false
1428219750,"mitchrichmond23","FOXSportsLive",true
629826757,"mitchrichmond23","KilkennyKing",false
1096878331,"mitchrichmond23","jack_dre",false
2163093530,"mitchrichmond23","starrken",false
276744293,"mitchrichmond23","AllegraVHGreen",true
61842713,"mitchrichmond23","RojGrobes",true
2162585401,"mitchrichmond23","GarnettFan4Life",false
18739719,"mitchrichmond23","HaroldFrink",false
218667420,"mitchrichmond23","ichooseshorts",false
855969072,"mitchrichmond23","yingkopin",false
240131181,"mitchrichmond23","chaddavis82",false
115775491,"mitchrichmond23","thisgirltamika",true
1959988562,"mitchrichmond23","SacSportsAnnex",false
1856076841,"mitchrichmond23","NiKa_Z_5iVe",false
16554091,"mitchrichmond23","dschwartze1",true
311880850,"mitchrichmond23","khenetix",true
115423995,"mitchrichmond23","TonyMoore55",false
1618803126,"mitchrichmond23","Kasper_Strand",false
529601885,"mitchrichmond23","crusty1975",false
147375499,"mitchrichmond23","kirkellisjr",true
471622486,"mitchrichmond23","JScottHanks",true
31551964,"mitchrichmond23","blahblah1993",false
182979067,"mitchrichmond23","CoreDrKris",true
484878330,"mitchrichmond23","RyanMillard206",true
120532448,"mitchrichmond23","cbSkaterboy",false
1023833191,"mitchrichmond23","rllucchini",false
2150142238,"mitchrichmond23","nbaautos",false
371410657,"mitchrichmond23","Gilzotoo",false
1965478098,"mitchrichmond23","hoodboyz12345",false
2149158112,"mitchrichmond23","arda_tartan1",false
354901646,"mitchrichmond23","ntmaddox",false
2148216067,"mitchrichmond23","Schavezjr",false
2148490299,"mitchrichmond23","ed_tearnur",false
2147989086,"mitchrichmond23","instant_nba",false
717461224,"mitchrichmond23","JPArriola",false
51591279,"mitchrichmond23","TippyTotShoes",false
1977012158,"mitchrichmond23","craigbrooks4468",false
1962093043,"mitchrichmond23","IvanCarrillo916",false
33092842,"mitchrichmond23","leannsturdy",false
160781701,"mitchrichmond23","MarvinG0",true
1972461666,"mitchrichmond23","moodyjoe77",false
261902998,"mitchrichmond23","CoachMohlis",true
320778504,"mitchrichmond23","PapoBasquete",false
1949643854,"mitchrichmond23","pjferg88",false
1959111632,"mitchrichmond23","JJehosephat777",true
1957190442,"mitchrichmond23","2xchamp916",false
1969240201,"mitchrichmond23","life_hoops",false
1968362258,"mitchrichmond23","SevenBarNGrill",false
719616171,"mitchrichmond23","ThinkTankSport",false
181811200,"mitchrichmond23","nbALLday247",false
40497525,"mitchrichmond23","mymimize",true
274502480,"mitchrichmond23","FLIGHTNEL9",true
267249096,"mitchrichmond23","adismietana",false
1897444494,"mitchrichmond23","YaninaG72245267",true
1628928991,"mitchrichmond23","lcdmedic",true
576874765,"mitchrichmond23","RandoBrian",false
326304851,"mitchrichmond23","ryannishimura",false
37963697,"mitchrichmond23","CraigThompson98",false
1959137906,"mitchrichmond23","mmunoz41",false
1025934757,"mitchrichmond23","theuswardlow",false
1609676461,"mitchrichmond23","sharon_lizbet",false
966334057,"mitchrichmond23","valleywoodland",false
1955796613,"mitchrichmond23","allstars_nba",false
954474372,"mitchrichmond23","DivisionCleaner",false
1837057574,"mitchrichmond23","acarrillo822",false
1686874915,"mitchrichmond23","king_steezy69",false
850877070,"mitchrichmond23","Thando25_TJ",false
1674767606,"mitchrichmond23","GoDucksNP",true
1594603285,"mitchrichmond23","rickypierce22",false
198534918,"mitchrichmond23","Royalflush55",true
1950563310,"mitchrichmond23","ConManJames66",false
193026362,"mitchrichmond23","S_Thoma5",false
810684974,"mitchrichmond23","Courtz582",false
40521550,"mitchrichmond23","JoJoWalt",true
30339996,"mitchrichmond23","o_legarreta",true
1948100948,"mitchrichmond23","andersonsdry",true
1643199174,"mitchrichmond23","tladwildcat",true
904410961,"mitchrichmond23","SportsForum",false
142796013,"mitchrichmond23","dleggitt",false
1116107767,"mitchrichmond23","bigorsey",true
1942057002,"mitchrichmond23","proathletefanpa",false
52874598,"mitchrichmond23","8888PELE8888",false
1663338822,"mitchrichmond23","LieberAri",false
164361543,"mitchrichmond23","Bucketsacademy",false
1134899840,"mitchrichmond23","mustainryan",true
26235724,"mitchrichmond23","MisssSlowJam",false
1936623121,"mitchrichmond23","BelieveinSac",true
633862469,"mitchrichmond23","MahmudCinematic",true
394736332,"mitchrichmond23","GSWarriorsFan75",true
1866696121,"mitchrichmond23","BCZepterVienna",false
321650652,"mitchrichmond23","SportsExpoSac",false
23738192,"mitchrichmond23","DaleSchornack",false
71100639,"mitchrichmond23","nelsonbjork",true
701997473,"mitchrichmond23","Pmtm8888",false
492641021,"mitchrichmond23","KyleBruna",false
47751167,"mitchrichmond23","BrentHogarth",true
54826306,"mitchrichmond23","EddieMata",true
1497100200,"mitchrichmond23","barndoggie07",false
316627726,"mitchrichmond23","matty8ice",false
1676998585,"mitchrichmond23","josephpcraig",false
178961830,"mitchrichmond23","dalcowboys1",false
1906729674,"mitchrichmond23","EnriqueVF_",true
49843472,"mitchrichmond23","egoody915",false
1923708968,"mitchrichmond23","JoshKerger",false
1920216685,"mitchrichmond23","hoopslegends",false
44275204,"mitchrichmond23","Drew_Poulos",false
397881944,"mitchrichmond23","yeeanslappos",false
978991892,"mitchrichmond23","The_Key_Center",false
1905137935,"mitchrichmond23","LoicDucrocq",false
216200510,"mitchrichmond23","browntea27",true
331291711,"mitchrichmond23","Odelltlwh",false
1912568808,"mitchrichmond23","Ope_tope",false
452439990,"mitchrichmond23","EMAW_Brett",false
1712830531,"mitchrichmond23","bigfoot16mon",false
358068516,"mitchrichmond23","DanielsTireCA",true
617612901,"mitchrichmond23","Derricky1713",true
1908183109,"mitchrichmond23","SnydersStatue",true
1369862185,"mitchrichmond23","JordonCooper20",false
520576299,"mitchrichmond23","_Cody_Hart_",false
1904792648,"mitchrichmond23","PaulsonDoug",false
1430853036,"mitchrichmond23","murgolini",false
1899383491,"mitchrichmond23","daniel__donahue",true
1902529724,"mitchrichmond23","sacking9er",false
564533694,"mitchrichmond23","thunderstorm_86",true
37851189,"mitchrichmond23","Topstorycory",true
939338593,"mitchrichmond23","mynameislewr",true
560135967,"mitchrichmond23","conversekid83",false
278578084,"mitchrichmond23","cwallaceyankees",false
631497602,"mitchrichmond23","head_hoop",false
52670974,"mitchrichmond23","greggy5878",true
1028236784,"mitchrichmond23","SCWmavriks",true
234165479,"mitchrichmond23","sunrise2441",false
59613994,"mitchrichmond23","Uhhlexannderrr7",false
1894474920,"mitchrichmond23","NinergangNick",false
352168082,"mitchrichmond23","savemartgod",false
37927912,"mitchrichmond23","IamRBDelaCruz",false
444305599,"mitchrichmond23","reedseedsales",true
787354478,"mitchrichmond23","JenniferHosman3",false
18309139,"mitchrichmond23","draperdouthit",false
480887338,"mitchrichmond23","bradseib",false
1424891282,"mitchrichmond23","YaBrownjr84",false
474702932,"mitchrichmond23","chris_harrison1",false
790538556,"mitchrichmond23","zacktrumpp",false
490564830,"mitchrichmond23","RyanCollinsMBA",false
1202109523,"mitchrichmond23","HunterCor",false
1096973034,"mitchrichmond23","sachmo_21",false
299782087,"mitchrichmond23","CGallagherDDS",false
153610173,"mitchrichmond23","Steenbockj",true
276544359,"mitchrichmond23","RealRhonda",true
15936726,"mitchrichmond23","cpotchad",false
4199441,"mitchrichmond23","katiemarie",false
263893052,"mitchrichmond23","Richard_D_Green",false
555326802,"mitchrichmond23","KaylynKeating",false
340634613,"mitchrichmond23","shaunwayKSU",false
573226726,"mitchrichmond23","ArceoNoe",true
1877989471,"mitchrichmond23","SacBodyGuard",false
1328478530,"mitchrichmond23","kmill071",false
67708060,"mitchrichmond23","BredToLiveGLowe",false
1849020031,"mitchrichmond23","RameyLuke",false
1877183486,"mitchrichmond23","vovchikuss",false
144660854,"mitchrichmond23","Vjdfhsvi",false
1878158726,"mitchrichmond23","timberwolves_21",false
1689359192,"mitchrichmond23","CozzIsWHYLIN",true
110580519,"mitchrichmond23","frankyycano",false
364979350,"mitchrichmond23","ZacharyZollars",true
175526345,"mitchrichmond23","alwaysonlytony",false
445167028,"mitchrichmond23","vdella0922",true
1074999158,"mitchrichmond23","Rickdiculous5",false
1866061824,"mitchrichmond23","RaidersSacKings",false
47337795,"mitchrichmond23","FasTrackMinist",true
1100586546,"mitchrichmond23","MarkWaldman14",false
1863556532,"mitchrichmond23","302631529",false
31638038,"mitchrichmond23","lmayatedeandrei",true
1862041855,"mitchrichmond23","sacramentoking9",false
29169010,"mitchrichmond23","bennydunn",false
1831070522,"mitchrichmond23","drydenlewis",true
308235011,"mitchrichmond23","Simple_GurlShit",true
1015102554,"mitchrichmond23","Assapgoldie",false
1858246734,"mitchrichmond23","NBA2kgeek",false
1631893824,"mitchrichmond23","CathyMo67129031",false
1856795935,"mitchrichmond23","MvZuilichem",false
411089418,"mitchrichmond23","NyssaVpriv1",true
110388253,"mitchrichmond23","FrankieBautista",false
1855825752,"mitchrichmond23","hangingWcelebs",false
1631611711,"mitchrichmond23","mh0987654321123",false
1259850056,"mitchrichmond23","junespineda",true
1107674412,"mitchrichmond23","ShevahnMarie",false
560330914,"mitchrichmond23","ngunta17",false
1426937688,"mitchrichmond23","jasminatorlife",false
1670423192,"mitchrichmond23","RhegSalas",false
38778658,"mitchrichmond23","cassyathena",true
311759223,"mitchrichmond23","imanih007",false
429227217,"mitchrichmond23","THEGODCANSTORE",true
21840484,"mitchrichmond23","LisaLeslie",false
393514932,"mitchrichmond23","DustinOgden1978",false
16371289,"mitchrichmond23","9thWonderMusic",false
102187596,"mitchrichmond23","NikiToliver",false
539400201,"mitchrichmond23","HammBone311",false
46872821,"mitchrichmond23","Kspecial39",false
183349235,"mitchrichmond23","ShowStoppaEnt1",true
861244526,"mitchrichmond23","justinappleseed",true
438147518,"mitchrichmond23","SterlWorld1999",true
102780710,"mitchrichmond23","_chrisgraham",false
70273115,"mitchrichmond23","nickieanglesey",true
31011508,"mitchrichmond23","tammydps",false
36961075,"mitchrichmond23","ZigZag52501",false
