Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends
6,Chris Bosh,MIA,$20644400,$22192730,$23741060,$25289390,$26837720,,Bird Rights,$118705300,,,,,,,,,,
220,Chris Copeland,IND,$3135000,,,,,,MLE,$3135000,,,,,,,,,,
416,Chris Douglas-Roberts,BOS,$915243,,,,,,,$915243,,,,,,,,,,
511,Chris Johnson,UTA,$53838,,,,,,Minimum Salary,$53838,,,,,,,,,,
158,Chris Kaman,POR,$4800000,$5000000,,,,,MLE,$5800000,,,,,,,,,,
8,Chris Paul,LAC,$20068563,$21468696,$22868828,$24268960,,,Bird Rights,$64406087,,,,,,,,,,
126,Chuck Hayes,TOR,$5958750,,,,,,Cap Space,$5958750,,,,,,,,,,
459,Cleanthony Early,NYK,$507336,$845059,,,,,Minimum Salary,$1352395,,,,,,,,,,
352,Clint Capela,HOU,$1189200,$1242720,$1296240,$2334520,,,1st Round Pick,$2431920,,,,,,,,,,
176,Cody Zeller,CHO,$4030560,$4204200,$5318313,,,,1st Round Pick,$8234760,,,,,,,,,,
401,Cole Aldrich,NYK,$981084,,,,,,Minimum Salary,$915243,,,,,,,,,,
161,Corey Brewer,HOU,$4702500,$4905000,,,,,Cap Space,$4702500,,,,,,,,,,
471,Cory Jefferson,BRK,$507336,$845059,,,,,Minimum Salary,$75000,,,,,,,,,,
283,Cory Joseph,SAS,$2023261,,,,,,1st Round Pick,$2023261,,,,,,,,,,
136,Courtney Lee,MEM,$5450000,$5675000,,,,,Bird Rights,$11125000,,,,,,,,,,
232,D.J. Augustin,DET,$3000000,$3000000,,,,,,$6000000,,,,,,,,,,
484,Dahntay Jones,LAC,$170410,,,,,,Minimum Salary,$170410,,,,,,,,,,
203,Damian Lillard,POR,$3340920,$4236287,,,,,1st Round Pick,$7577207,,,,,,,,,,
423,Damien Inglis,MIL,$820000,$855000,$980431,,,,Cap Space,$1675000,,,,,,,,,,
368,Damjan Rudez,IND,$1100000,$1149500,$1199000,,,,MLE,$2249500,,,,,,,,,,
55,Danilo Gallinari,DEN,$10854850,$11559225,,,,,Bird Rights,$22414075,,,,,,,,,,
276,Danny Granger,MIA,$2077000,$2170465,,,,,BAE,$2077000,,,,,,,,,,
177,Danny Green,SAS,$4025000,,,,,,Early Bird,$4025000,,,,,,,,,,
447,Dante Cunningham,NOP,$716043,,,,,,,,,,,,,,,,,
